#Peripheral,Internal Signal,FPGA Signal
USB0,ulpi_data_out_en1,usb0_ulpi_data_oe[1]
USB0,ulpi_data_out_en2,usb0_ulpi_data_oe[2]
USB0,ulpi_data_out_en3,usb0_ulpi_data_oe[3]
USB0,ulpi_data_out_en4,usb0_ulpi_data_oe[4]
USB0,ulpi_data_out_en5,usb0_ulpi_data_oe[5]
USB0,ulpi_data_out_en6,usb0_ulpi_data_oe[6]
USB0,ulpi_data_out_en7,usb0_ulpi_data_oe[7]
USB1,ulpi_clk,usb1_ulpi_clk
USB1,ulpi_dir,usb1_ulpi_dir
USB1,ulpi_nxt,usb1_ulpi_nxt
USB1,ulpi_datain0,usb1_ulpi_data_i[0]
USB1,ulpi_datain1,usb1_ulpi_data_i[1]
USB1,ulpi_datain2,usb1_ulpi_data_i[2]
USB1,ulpi_datain3,usb1_ulpi_data_i[3]
USB1,ulpi_datain4,usb1_ulpi_data_i[4]
USB1,ulpi_datain5,usb1_ulpi_data_i[5]
USB1,ulpi_datain6,usb1_ulpi_data_i[6]
USB1,ulpi_datain7,usb1_ulpi_data_i[7]
USB1,ulpi_stp,usb1_ulpi_stp
USB1,ulpi_dataout0,usb1_ulpi_data_o[0]
USB1,ulpi_dataout1,usb1_ulpi_data_o[1]
USB1,ulpi_dataout2,usb1_ulpi_data_o[2]
USB1,ulpi_dataout3,usb1_ulpi_data_o[3]
USB1,ulpi_dataout4,usb1_ulpi_data_o[4]
USB1,ulpi_dataout5,usb1_ulpi_data_o[5]
USB1,ulpi_dataout6,usb1_ulpi_data_o[6]
USB1,ulpi_dataout7,usb1_ulpi_data_o[7]
USB1,ulpi_data_out_en0,usb1_ulpi_data_oe[0]
USB1,ulpi_data_out_en1,usb1_ulpi_data_oe[1]
USB1,ulpi_data_out_en2,usb1_ulpi_data_oe[2]
USB1,ulpi_data_out_en3,usb1_ulpi_data_oe[3]
USB1,ulpi_data_out_en4,usb1_ulpi_data_oe[4]
USB1,ulpi_data_out_en5,usb1_ulpi_data_oe[5]
USB1,ulpi_data_out_en6,usb1_ulpi_data_oe[6]
USB1,ulpi_data_out_en7,usb1_ulpi_data_oe[7]
SPIM0,sclk_out,spim0_sclk_out
SPIM0,txd,spim0_mosi_o
SPIM0,rxd,spim0_miso_i
SPIM0,ss_in_n,spim0_ss_in_n
SPIM0,ssi_oe_n,spim0_mosi_oe
SPIM0,ss_cs0,spim0_ss0_n_o
SPIM0,ss_cs1,spim0_ss1_n_o
SPIM0,ss_cs2,spim0_ss2_n_o
SPIM0,ss_cs3,spim0_ss3_n_o
SPIM1,sclk_out,spim1_sclk_out
SPIM1,txd,spim1_mosi_o
SPIM1,rxd,spim1_miso_i
SPIM1,ss_in_n,spim1_ss_in_n
SPIM1,ssi_oe_n,spim1_mosi_oe
SPIM1,ss_cs0,spim1_ss0_n_o
SPIM1,ss_cs1,spim1_ss1_n_o
SPIM1,ss_cs2,spim1_ss2_n_o
SPIM1,ss_cs3,spim1_ss3_n_o
SPIS0,sclk_in,spis0_sclk_in
SPIS0,txd,spis0_miso_o
SPIS0,rxd,spis0_mosi_i
SPIS0,ss_in_n,spis0_ss_in_n
SPIS0,ssi_oe_n,spis0_miso_oe
SPIS1,sclk_in,spis1_sclk_in
SPIS1,txd,spis1_miso_o
SPIS1,rxd,spis1_mosi_i
SPIS1,ss_in_n,spis1_ss_in_n
SPIS1,ssi_oe_n,spis1_miso_oe
UART0,cts_n,uart0_cts_n
UART0,dsr_n,uart0_dsr_n
UART0,dcd_n,uart0_dcd_n
UART0,ri_n,uart0_ri_n
UART0,dtr_n,uart0_dtr_n
UART0,rts_n,uart0_rts_n
UART0,out1_n,uart0_out1_n
UART0,out2_n,uart0_out2_n
UART0,sin,uart0_rx
UART0,sout,uart0_tx
UART1,cts_n,uart1_cts_n
UART1,dsr_n,uart1_dsr_n
UART1,dcd_n,uart1_dcd_n
UART1,ri_n,uart1_ri_n
UART1,dtr_n,uart1_dtr_n
UART1,rts_n,uart1_rts_n
UART1,out1_n,uart1_out1_n
UART1,out2_n,uart1_out2_n
UART1,sin,uart1_rx
UART1,sout,uart1_tx
I2C0,ic_clk_in_a,i2c0_scl_i
I2C0,ic_clk_oe,i2c0_scl_oe
